id,name,party,sector,country,type
uvl,Ursula von der Leyen,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,Recht,Deutschland,1
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,,Deutschland,1
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,Presse,Deutschland,1
el,Egils Levits,Jauna Vienotiba,Politik,Lettland,1
ab,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Niederlande,1
am,Andrij Melnyk,,,Ukraine,1
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,1
er,Egon Ramms,,Bundeswehr,Deutschland,1
rh,Robert Habeck ,Bündnis 90/​Die Grünen,Politik,Deutschland,1
cm,Claudia Major,,Wissenschaft,Deutschland,1
kp,Katja Petrowskaja,,Presse,Deutschland,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1